Ticker;Sector;NAME;Year;PL;PT;DIR;LL_Consolidado;PR_all;PS_all;Legal Index;Leverage Index;Governance Index;Global Index;Legal Ranking;Governance Ranking;Leverage Ranking;Global Points;Global Ranking;LPA;Aplicações Financeiras;Caixa e Equivalentes de Caixa;Clientes;Despesas Financeiras;Despesas/Receitas Operacionais;Empréstimos e Financiamentos;Fornecedores;Imobilizado;Intangível;Investimentos;Outras Despesas Operacionais;Passivo Circulante;Passivo Não Circulante;Capacidade Financeira
AMER3.SA;Consumo Cíclico;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2012;969012992;3817733888;28646462;-170667008;18941000;30374000;-6,618851913;-0,746181106;-6,957699349;-5,23539607;102;96;97;99,25;102;-1,086476447;1333890;36267;857950;-626310;-985617;617141;960175;262015;988814;0;-84744;1647391;2170343;2228107
MRFG3.SA;Consumo não Cíclico;MARFRIG GLOBAL FOODS S.A.;2015;843632000;19759847424;27000000;-538907008;46219000;1201267000;-1,44861551;-0,957305743;-20,95951881;-6,203513895;98;100;107;100,75;105,5;-1,12596927;3373842;1630368;1003717;-5695092;-1024053;2047384;1818991;4371067;2645270;26024;0;5406649;14665668;6007927
PETR3.SA;Petróleo, Gás e Biocombustíveis;PETROLEO BRASILEIRO S.A. PETROBRAS;2016;2,52743E+11;5,52202E+11;29200719,53;-13045000192;11052000000;2,16003E+11;-1,060392681;-0,542299762;-447,7355737;-112,5996647;99;121;81;100;106,5;-1,136417909;2556000;69108000;0;-30823000;-73496000;31855000;18781000;571876000;10663000;9948000;-47560000;81167000;471035000;71664000
ALPK3.SA;Bens Industriais;ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A;2021;562049984;2013168000;8497645,98;-224170000;34947000;148317000;-2,511424854;-0,720813174;-27,38024702;-8,280977474;177;179;156;172,25;178;-1,139482794;0;96400;57087;-206797;-239307;415141;133763;626112;1557700;29062;-146375;690908;1322260;153487
BIOM3.SA;Saúde;BIOMM S.A.;2017;59301000;203086000;1728411;-38128000;1000;1000;-38129;-0,708000551;-23,05956801;-19070,44189;127;120;107;120,25;124;-1,144729787;32480;8630;0;-16245;-35457;20127;18032;155669;29652;0;-4220;43317;159769;41110
BIOM3.SA;Saúde;BIOMM S.A.;2019;153556992;235214000;8757914,08;-55812000;1321000;1000;-55813;-0,347160492;-7,372750348;-27908,42998;153;137;71;128,5;135;-1,151084538;74593;30075;0;-22021;-53131;12786;39396;161627;63364;0;-8111;60795;174419;104668
BIOM3.SA;Saúde;BIOMM S.A.;2020;191479008;243491008;10950000;-70767000;843000;529000;-134,7750473;-0,213609531;-7,462739726;-69,30661094;182;157;69;147,5;163,5;-1,158110858;84688;57403;0;-47130;-69509;43608;11338;159799;58621;0;-3895;66272;177219;142091
BIOM3.SA;Saúde;BIOMM S.A.;2021;111586000;258244992;13921000;-80261000;847000;39000;-2058,974359;-0,567906432;-6,765462251;-1031,320522;184;170;137;168,75;176;-1,176274244;23767;31369;0;-39544;-92583;50075;17675;163186;55576;0;-2181;78729;179516;55136
BEEF3.SA;Consumo não Cíclico;MINERVA S.A.;2017;71077000;11834248192;15893840,5;-280683008;147343000;786364000;-1,356937764;-0,993993957;-18,65986062;-5,591932527;112;117;123;116;121;-1,234721189;528740;3278602;1385460;-1294858;-1247512;2187470;1048399;3498652;725621;0;0;3947230;7887018;5192802
BIOM3.SA;Saúde;BIOMM S.A.;2022;159108992;245984000;14923827;-92559000;1461000;656000;-142,0960366;-0,35317341;-7,202095481;-72,93683552;184;163;93;156;163;-1,254489466;28629;75931;0;-44971;-102232;51060;34013;163761;48331;0;-12345;92458;153526;104560
