id,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,start_date,location_city,location_state,location_country,athlete_count,trainer,commute,manual,private,gear_id,average_speed,max_speed,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id_str,external_id,pr_count,stravaConnectionId,createdAt,updatedAt,gender,age,score,week,wasCalculated
12205,7166.5,1617,1684,41.0,Ride,ROAD,2024-05-07 01:16:53,,,United States,1,False,False,False,False,b120709,4.432,9.08,False,False,False,145.6,105.0,12122067072,stripped_garmin_ping_338700573122,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.941,2024-08-30 19:37:37.941,male,51,85.48,19,True
12207,4264.3,1147,1230,68.0,Ride,ROAD,2024-05-06 23:34:55,,,United States,1,False,False,False,False,b120709,3.718,7.62,False,False,False,-45.4,-89.6,12121592155,stripped_garmin_ping_338683635123,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.941,2024-08-30 19:37:37.941,male,51,100.0,19,True
12211,5170.2,2791,3164,45.0,Run,RUN,2024-05-03 20:33:09,,,United States,1,False,False,False,False,g13263,1.852,3.617,False,False,False,775.8,756.0,12096909958,stripped_garmin_ping_337965050118,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.941,2024-08-30 19:37:37.941,male,51,93.07,18,True
12215,1748.7,971,982,10.0,Run,RUN,2024-05-01 12:19:38,,,United States,1,False,False,False,False,g13263,1.801,3.018,False,False,False,767.2,758.8,12078079485,stripped_garmin_ping_337413916076,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.941,2024-08-30 19:37:37.941,male,51,98.69,18,True
12235,6248.3,1501,1696,47.0,Ride,ROAD,2024-04-16 01:21:32,,,United States,1,False,False,False,False,b120709,4.163,9.364,False,False,False,144.6,98.6,11959529335,stripped_garmin_ping_333899854446,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.942,2024-08-30 19:37:37.942,male,51,94.43,16,True
12237,4458.5,1205,1339,67.0,Ride,ROAD,2024-04-15 23:40:11,,,United States,1,False,False,False,False,b120709,3.7,7.743,False,False,False,121.0,76.4,11959092929,stripped_garmin_ping_333885237456,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.942,2024-08-30 19:37:37.942,male,51,100.0,16,True
12249,5658.9,1540,1540,46.0,Ride,ROAD,2024-04-09 01:19:36,,,United States,1,False,False,False,False,b120709,3.675,9.32,False,False,False,144.8,97.0,11904922613,stripped_garmin_ping_332364916183,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.943,2024-08-30 19:37:37.943,male,51,100.0,15,True
12251,5690.2,1673,1673,74.0,Ride,ROAD,2024-04-08 23:29:41,,,United States,1,False,False,False,False,b120709,3.401,8.418,False,False,False,121.8,73.0,11904502481,stripped_garmin_ping_332350455140,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.943,2024-08-30 19:37:37.943,male,51,100.0,15,True
12263,18544.0,5163,7784,186.0,Ride,ROAD,2024-04-01 14:30:57,,,United States,1,False,False,False,False,b120709,3.592,7.264,False,False,False,140.2,35.4,11849148310,stripped_garmin_ping_330754899858,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.943,2024-08-30 19:37:37.943,male,51,100.0,14,True
12265,37039.1,8712,9182,370.0,Ride,ROAD,2024-03-29 23:52:07,,,United States,1,False,False,False,False,b120709,4.252,11.228,False,False,False,155.6,27.8,11828262041,stripped_garmin_ping_330185211699,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.944,2024-08-30 19:37:37.944,male,51,76.26,13,True
12269,5633.5,1545,1606,79.0,Ride,ROAD,2024-03-27 23:19:29,,,United States,1,False,False,False,False,b120709,3.646,8.134,False,False,False,125.6,76.4,11814063893,stripped_garmin_ping_329725725126,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.944,2024-08-30 19:37:37.944,male,51,100.0,13,True
12272,5967.9,1427,1532,60.0,Ride,ROAD,2024-03-26 01:19:45,,,United States,1,False,False,False,False,b120709,4.182,8.886,False,False,False,146.8,91.8,11799786162,garmin_ping_329319317169,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.944,2024-08-30 19:37:37.944,male,51,93.63,13,True
12274,4432.4,1198,1407,68.0,Ride,ROAD,2024-03-25 23:35:19,,,United States,1,False,False,False,False,b120709,3.7,7.113,False,False,False,102.2,60.0,11799418650,garmin_ping_329304935391,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.944,2024-08-30 19:37:37.944,male,51,100.0,13,True
12275,16871.9,4361,4669,158.0,Ride,ROAD,2024-03-25 18:04:05,,,United States,1,False,False,False,False,b120709,3.869,10.206,False,False,False,63.2,-1.4,11797857275,garmin_ping_329262018387,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.944,2024-08-30 19:37:37.944,male,51,100.0,13,True
12282,17132.4,5780,7593,170.0,Ride,ROAD,2024-03-20 14:32:38,,,United States,1,False,False,False,False,b120709,2.964,10.104,False,False,False,66.0,-3.0,11761404304,garmin_ping_328190420291,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.945,2024-08-30 19:37:37.945,male,51,100.0,12,True
12290,4458.5,1082,1082,32.0,Ride,ROAD,2024-03-14 01:17:40,,,United States,1,False,False,False,False,b120709,4.121,9.088,False,False,False,142.2,100.4,11712832244,garmin_ping_326794106652,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.945,2024-08-30 19:37:37.945,male,51,97.16,11,True
12292,4412.5,1280,1280,70.0,Ride,ROAD,2024-03-13 23:34:15,,,United States,1,False,False,False,False,b120709,3.447,7.982,False,False,False,120.6,75.4,11712434352,garmin_ping_326780296900,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.945,2024-08-30 19:37:37.945,male,51,100.0,11,True
12306,7334.6,1750,1750,46.0,Ride,ROAD,2024-02-29 02:19:41,,,United States,1,False,False,False,False,b120709,4.191,16.615,False,False,False,144.2,101.4,11607006188,garmin_ping_323889938550,1,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.946,2024-08-30 19:37:37.946,male,51,93.5,9,True
12308,4490.0,1258,1411,67.0,Ride,ROAD,2024-02-29 00:32:14,,,United States,1,False,False,False,False,b120709,3.569,7.639,False,False,False,118.8,74.6,11606647633,garmin_ping_323876936617,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.946,2024-08-30 19:37:37.946,male,51,100.0,9,True
12310,22198.6,6238,7951,210.0,Ride,ROAD,2024-02-28 14:59:59,,,United States,1,False,False,False,False,b120709,3.559,9.514,False,False,False,91.6,-31.6,11604029948,garmin_ping_323812789026,0,clx50in7e00018mc4q47nywua,2024-08-30 19:37:37.946,2024-08-30 19:37:37.946,male,51,100.0,9,True
