product_id;product;description;date_period;mes;ano;cost_real;qtd_real;cost_unit;dias_uteis;qtd_dia;qtd_dia_10000;varia_dia_media;varia_dia_abs;qtd_med;desv_pad
1032;67477V;LUBRAX GL-5 SAE 85W140 1-LITRO;01/03/2024;3;2024;39940;64;624;21;3,04762;30476;7061;7804;85,50000;17,37527
1032;67477V;LUBRAX GL-5 SAE 85W140 1-LITRO;01/04/2024;4;2024;49733;81;613;22;3,68182;36818;12080;12656;85,50000;17,37527
1032;67477V;LUBRAX GL-5 SAE 85W140 1-LITRO;01/05/2024;5;2024;56542;94;601;22;4,27273;42727;11604;11604;85,50000;17,37527
1032;67477V;LUBRAX GL-5 SAE 85W140 1-LITRO;01/06/2024;6;2024;46915;77;609;20;3,85000;38500;9010;8191;85,50000;17,37527
1033;67478W;LUBRAX GL-5 SAE 85W140 BD-20L;01/01/2024;1;2024;388371;815;476;22;37,04545;370454;0;0;810,16667;131,34141
1033;67478W;LUBRAX GL-5 SAE 85W140 BD-20L;01/02/2024;2;2024;397844;847;469;19;44,57895;445789;12033;10392;810,16667;131,34141
1033;67478W;LUBRAX GL-5 SAE 85W140 BD-20L;01/03/2024;3;2024;299357;645;464;21;30,71429;307142;6889;7615;810,16667;131,34141
1033;67478W;LUBRAX GL-5 SAE 85W140 BD-20L;01/04/2024;4;2024;339136;769;441;22;34,95455;349545;11380;11922;810,16667;131,34141
1033;67478W;LUBRAX GL-5 SAE 85W140 BD-20L;01/05/2024;5;2024;323442;747;432;22;33,95455;339545;9713;9713;810,16667;131,34141
1033;67478W;LUBRAX GL-5 SAE 85W140 BD-20L;01/06/2024;6;2024;442815;1038;426;20;51,90000;519000;15285;13895;810,16667;131,34141
1034;67479X;LUBRAX TRM-4 GL-4 901-LITRO;01/01/2024;1;2024;3939;6;656;22;0,27273;2727;0;0;4,33333;4,22690
1034;67479X;LUBRAX TRM-4 GL-4 901-LITRO;01/02/2024;2;2024;659;1;659;19;0,05263;526;1929;1666;4,33333;4,22690
1034;67479X;LUBRAX TRM-4 GL-4 901-LITRO;01/03/2024;3;2024;664;1;664;21;0,04762;476;9047;10000;4,33333;4,22690
1034;67479X;LUBRAX TRM-4 GL-4 901-LITRO;01/04/2024;4;2024;8001;12;666;22;0,54545;5454;114545;120000;4,33333;4,22690
1034;67479X;LUBRAX TRM-4 GL-4 901-LITRO;01/05/2024;5;2024;1354;2;677;22;0,09091;909;1666;1666;4,33333;4,22690
1034;67479X;LUBRAX TRM-4 GL-4 901-LITRO;01/06/2024;6;2024;2728;4;682;20;0,20000;2000;22000;20000;4,33333;4,22690
1035;67480Y;LUBRAX TRM-4 GL-4 90 BD-20L;01/01/2024;1;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1035;67480Y;LUBRAX TRM-4 GL-4 90 BD-20L;01/02/2024;2;2024;0;0;0;19;0,00000;0;0;0;0,00000;0,00000
1035;67480Y;LUBRAX TRM-4 GL-4 90 BD-20L;01/03/2024;3;2024;0;0;0;21;0,00000;0;0;0;0,00000;0,00000
1035;67480Y;LUBRAX TRM-4 GL-4 90 BD-20L;01/04/2024;4;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1035;67480Y;LUBRAX TRM-4 GL-4 90 BD-20L;01/05/2024;5;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1035;67480Y;LUBRAX TRM-4 GL-4 90 BD-20L;01/06/2024;6;2024;0;0;0;20;0,00000;0;0;0;0,00000;0,00000
1036;67481Z;LUBRAX TRM-5 SAE GL-5 1401-LITRO;01/01/2024;1;2024;47453;60;790;22;2,72727;27272;0;0;28,83333;15,76600
1036;67481Z;LUBRAX TRM-5 SAE GL-5 1401-LITRO;01/02/2024;2;2024;18710;23;813;19;1,21053;12105;4438;3833;28,83333;15,76600
1036;67481Z;LUBRAX TRM-5 SAE GL-5 1401-LITRO;01/03/2024;3;2024;14519;18;806;21;0,85714;8571;7080;7826;28,83333;15,76600
1036;67481Z;LUBRAX TRM-5 SAE GL-5 1401-LITRO;01/04/2024;4;2024;19586;24;816;22;1,09091;10909;12727;13333;28,83333;15,76600
1036;67481Z;LUBRAX TRM-5 SAE GL-5 1401-LITRO;01/05/2024;5;2024;23256;29;801;22;1,31818;13181;12083;12083;28,83333;15,76600
1036;67481Z;LUBRAX TRM-5 SAE GL-5 1401-LITRO;01/06/2024;6;2024;15415;19;811;20;0,95000;9500;7206;6551;28,83333;15,76600
1037;67482A;LUBRAX TRM-5 GL-5 901-LITRO;01/01/2024;1;2024;7550;11;686;22;0,50000;5000;0;0;3,16667;4,11906
1037;67482A;LUBRAX TRM-5 GL-5 901-LITRO;01/02/2024;2;2024;1426;2;712;19;0,10526;1052;2105;1818;3,16667;4,11906
1037;67482A;LUBRAX TRM-5 GL-5 901-LITRO;01/03/2024;3;2024;1454;2;726;21;0,09524;952;9047;10000;3,16667;4,11906
1037;67482A;LUBRAX TRM-5 GL-5 901-LITRO;01/04/2024;4;2024;0;0;0;22;0,00000;0;0;0;3,16667;4,11906
1037;67482A;LUBRAX TRM-5 GL-5 901-LITRO;01/05/2024;5;2024;2934;4;733;22;0,18182;1818;0;0;3,16667;4,11906
1037;67482A;LUBRAX TRM-5 GL-5 901-LITRO;01/06/2024;6;2024;0;0;0;20;0,00000;0;0;0;3,16667;4,11906
1038;67484C;LUBRAX HYDRA 68 BD-20L;01/01/2024;1;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1038;67484C;LUBRAX HYDRA 68 BD-20L;01/02/2024;2;2024;0;0;0;19;0,00000;0;0;0;0,00000;0,00000
1038;67484C;LUBRAX HYDRA 68 BD-20L;01/03/2024;3;2024;0;0;0;21;0,00000;0;0;0;0,00000;0,00000
1038;67484C;LUBRAX HYDRA 68 BD-20L;01/04/2024;4;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1038;67484C;LUBRAX HYDRA 68 BD-20L;01/05/2024;5;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
