product_id;product;description;date_period;mes;ano;cost_real;qtd_real;cost_unit
1091;137044L;LUBRAX UTILE OT 68 TB-200L;01/01/2024;1;2024;64035,61;15;4269
1092;137205Q;LUBRAX GL-5 85W140 TB-200L;01/01/2024;1;2024;53654,03;12;4471
1093;138761M;LUBRAX GEAR 150BD-20L;01/01/2024;1;2024;569,52;1;569
1094;138762N;LUBRAX GEAR 100BD-20L;01/01/2024;1;2024;0;0;0
1095;138954X;LUBRAX HYDRA XP 68 TB-200L;01/01/2024;1;2024;26141,76;6;4356
1096;139016H;LUBRAX HYDRA XP 46TB-200L;01/01/2024;1;2024;0;0;0
1097;140444F;LUBRAX GRAXA CALCIUN GR1 BD-20KG;01/01/2024;1;2024;0;0;0
1098;141245A;LUBRAX INDICC 4T 10W30 SL SEMI 1-LITRO;01/01/2024;1;2024;0;0;0
1099;141593K;LUBRAX HYDRA XP 683-LITROS;01/01/2024;1;2024;0;0;0
1100;141630V;LUBRAX ESSENCIAL 10W30 SM 1-LITRO;01/01/2024;1;2024;0;0;0
1101;147260J;LUBRAX GL-5 LS 80W90 BD-20L;01/01/2024;1;2024;0;0;0
1102;147262L;LUBRAX GL-5 LS 85W140 BD-20L;01/01/2024;1;2024;2371,48;2;1185
1103;149686R;LUBRAX ESSENCIAL 40 SJ 500-ML;01/01/2024;1;2024;0;0;0
1104;149976V;LUBRAX FEROCES 4T 15W50 SN 1-LITRO;01/01/2024;1;2024;0;0;0
1105;149978X;LUBRAX GRAXA LITH 2 BD-20KG;01/01/2024;1;2024;0;0;0
1106;149983C;LUBRAX GRANS TAC 4 30 TB-200L;01/01/2024;1;2024;0;0;0
1107;149985E;LUBRAX GL-5 SAE 250BD-20L;01/01/2024;1;2024;0;0;0
1108;149986F;LUBRAX TRM-5 GL-5 85W140 TB-200L;01/01/2024;1;2024;0;0;0
1109;149988H;LUBRAX TRM-5 GL-5 90 TB-200L;01/01/2024;1;2024;0;0;0
1110;149989I;LUBRAX GRANS TAC3 10W TB-200L;01/01/2024;1;2024;7842,28;2;3921
1111;149991K;LUBRAX ESSENCIAL 15W40 SL TB-200L;01/01/2024;1;2024;0;0;0
1112;150063E;LUBRAX GL-5 SAE 140 TB-200L;01/01/2024;1;2024;0;0;0
1113;150067I;LUBRAX GOLD 80W90 BD-20L;01/01/2024;1;2024;0;0;0
